date,revenue,orders,product,region
6/3/2026,12761.79,246,A,south
6/3/2026,9400.04,214,B,east
6/3/2026,13876.13,145,C,north
6/6/2026,14351.41,254,D,west
6/7/2026,7122.41,153,E,south
6/8/2026,8744.55,138,F,east
6/9/2026,12319.6,242,D,north
6/10/2026,11209.39,146,E,west
6/11/2026,11958,93,F,south
6/12/2026,9867.39,164,D,east
6/13/2026,14198.49,223,E,north
6/14/2026,13944.48,114,F,west
6/15/2026,12165.08,163,A,south
6/16/2026,14818.1,103,B,east
6/17/2026,13168.77,203,C,north
6/18/2026,9851.77,165,D,west
6/19/2026,12921.88,139,E,south
6/20/2026,9602.79,120,F,east
6/21/2026,14196.13,181,D,north
6/22/2026,11875.19,200,E,west
6/23/2026,11537.84,249,F,south
6/24/2026,10297.68,158,D,east
6/25/2026,15056.35,108,E,north
6/26/2026,11613.68,229,F,west
6/27/2026,10929.18,193,A,south
6/28/2026,11119.67,206,B,east
6/29/2026,13330.77,97,C,north
6/30/2026,12913.61,136,D,west
7/1/2026,13031.83,218,E,south
7/2/2026,13077.05,229,F,east
